time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T17:33:46.677Z,16.5957,-98.1903,11.021,4.5,mb,80,125,0.67,1.03,us,us6000jlyh,2023-04-15T21:39:39.040Z,"4 km WSW of San Juan Cacahuatepec, Mexico",earthquake,3.02,4.161,0.055,95,reviewed,us,us
2023-02-05T09:06:30.156Z,16.8301,-99.7892,22.002,4.5,mb,55,129,0.088,0.64,us,us6000jljd,2023-04-15T21:39:32.040Z,"1 km W of Tres Palos, Mexico",earthquake,4.68,6.123,0.091,35,reviewed,us,us
2023-02-02T17:42:18.946Z,14.0205,-91.4021,74.172,4.7,mb,130,89,1.013,0.56,us,us6000jl0g,2023-04-13T21:53:19.040Z,"22 km SSW of Nueva Concepción, Guatemala",earthquake,5.64,5.062,0.03,331,reviewed,us,us
2023-01-21T20:36:03.215Z,13.6541,-90.508,70.498,4.5,mb,17,161,0.749,0.46,us,us6000jjqy,2023-03-31T19:43:52.040Z,"37 km SE of Iztapa, Guatemala",earthquake,4.65,9.065,0.205,7,reviewed,us,us
2023-01-16T04:47:12.256Z,14.0805,-89.8596,7.997,5,mww,143,127,0.193,0.62,us,us7000j4mi,2023-03-31T19:44:33.040Z,"6 km ESE of Comapa, Guatemala",earthquake,4.52,4.2,0.052,35,reviewed,us,us
2023-01-15T23:07:53.815Z,14.0226,-89.7977,10,5.2,mww,105,68,0.121,0.81,us,us7000j4ld,2023-03-31T19:44:30.040Z,"7 km NW of Atiquizaya, El Salvador",earthquake,6.56,1.799,0.078,16,reviewed,us,us
2023-01-15T02:37:58.151Z,16.0898,-87.501,10,4.5,mb,21,68,2.033,0.72,us,us7000j4gd,2023-03-31T19:44:19.040Z,"35 km N of Tela, Honduras",earthquake,6.83,1.896,0.077,50,reviewed,us,us
2023-01-05T15:27:38.116Z,14.2773,-94.0954,10,5.2,mww,197,79,2.746,0.93,us,us7000j2ce,2023-03-11T22:51:41.040Z,"163 km SW of La Esperanza (El Zapotal), Mexico",earthquake,7.19,1.721,0.044,49,reviewed,us,us
2023-01-01T19:37:15.835Z,15.7411,-92.2028,199.949,4.6,mb,95,67,0.541,0.73,us,us7000j1gs,2023-03-11T22:51:30.040Z,"",earthquake,6.37,4.897,0.039,195,reviewed,us,us
2022-12-31T15:38:53.489Z,15.2401,-93.3171,74.482,4.7,mb,55,127,0.472,0.89,us,us7000j19l,2023-03-07T19:00:02.040Z,"28 km SW of La Esperanza (El Zapotal), Mexico",earthquake,5.51,5.311,0.033,279,reviewed,us,us
2022-12-30T15:35:47.097Z,18.2186,-103.3672,10,4.7,mb,47,103,1.162,1.17,us,us7000j12p,2023-03-07T19:00:00.040Z,"41 km SE of La Placita de Morelos, Mexico",earthquake,5.3,1.9,0.05,123,reviewed,us,us
2022-12-24T17:23:49.211Z,23.6368,-108.5983,10,4.5,mb,80,139,1.235,1.15,us,us6000jbgr,2023-03-07T18:59:45.040Z,"100 km E of La Rivera, Mexico",earthquake,4.96,1.865,0.053,103,reviewed,us,us
2022-12-21T16:54:24.074Z,19.4737,-108.6682,10,5.3,mww,181,101,4.356,0.44,us,us6000javv,2023-02-28T23:06:41.040Z,"Revilla Gigedo Islands region",earthquake,9.27,1.773,0.042,55,reviewed,us,us
2022-12-16T23:35:27.984Z,32.19085693,-102.1406965,8.192342122,5.2,ml,39,40,0.06509215908,0.2,tx,tx2022yplg,2023-04-14T23:45:30.083Z,"Range Hill, Texas",earthquake,0.7343709297,0.6529054056,0.2,18,reviewed,tx,tx
2022-12-11T15:03:11.145Z,14.1437,-89.8707,189.564,5,mww,92,123,0.256,0.74,us,us6000j8lw,2023-02-18T22:04:04.040Z,"4 km W of Zapotitlán, Guatemala",earthquake,8.4,4.056,0.054,33,reviewed,us,us
2022-12-11T14:31:29.051Z,17.1801,-100.53,18,6,mww,179,119,1.913,0.75,us,us6000j8lp,2023-02-21T18:41:43.459Z,"7 km W of Corral Falso, Mexico",earthquake,6.68,1.672,0.043,53,reviewed,us,us
2022-12-06T01:24:40.227Z,17.3101,-94.7354,122.351,4.5,mb,202,53,0.261,0.71,us,us6000j76k,2023-02-11T23:03:10.040Z,"14 km WNW of Hermanos Cedillo, Mexico",earthquake,8.15,6.779,0.035,243,reviewed,us,us
2022-12-05T01:33:33.456Z,19.4999,-109.2055,10,4.5,mb,114,95,1.772,0.71,us,us6000j6y4,2023-02-11T23:03:07.040Z,"Revilla Gigedo Islands region",earthquake,7.09,1.814,0.041,173,reviewed,us,us
2022-11-30T09:54:18.481Z,19.7114,-109.3208,10,4.7,mb,155,111,5.867,0.76,us,us6000j5qu,2023-02-05T23:25:30.040Z,"Revilla Gigedo Islands region",earthquake,8.68,1.889,0.06,84,reviewed,us,us
2022-11-29T13:24:12.611Z,13.826,-92.5942,10,4.5,mb,61,141,1.122,0.58,us,us7000it9z,2023-02-05T23:25:09.040Z,"",earthquake,5.41,1.913,0.078,48,reviewed,us,us
2022-11-25T02:36:16.894Z,16.0017,-98.3668,10,4.8,mb,43,202,1.159,0.82,us,us7000is8g,2023-01-30T06:01:41.040Z,"32 km SW of Corralero, Mexico",earthquake,3.54,1.933,0.063,77,reviewed,us,us
2022-11-24T19:19:28.583Z,31.62673498,-104.0029099,8.483850098,4.7,ml,52,31,0.01444631952,0.1,tx,tx2022xaxs,2023-01-30T06:01:35.040Z,"34 km WSW of Mentone, Texas",earthquake,0.4634159272,0.5129711472,0.2,69,reviewed,tx,tx
2022-11-24T19:14:19.519Z,31.63414005,-103.9876096,7.429821777,4.5,ml,42,47,0.0284181076,0.1,tx,tx2022xaxp,2023-01-30T06:01:35.040Z,"western Texas",earthquake,0.4271537021,0.5628307978,0.2,42,reviewed,tx,tx
2022-11-22T21:00:56.508Z,30.9783,-116.4784,10,4.5,mb,35,128,0.724,0.74,us,us7000irm7,2023-01-30T06:01:01.040Z,"30 km W of Las Brisas, Mexico",earthquake,2.44,1.804,0.115,22,reviewed,us,us
2022-11-22T16:39:05.789Z,30.7936,-116.3907,10,6.2,mww,164,61,0.494,0.75,us,us7000irjd,2023-03-30T07:15:48.466Z,"28 km SW of Las Brisas, Mexico",earthquake,4.14,1.745,0.029,118,reviewed,us,us
2022-11-20T23:36:44.276Z,18.5786,-106.505,10,4.8,mb,96,129,5.102,0.9,us,us7000ir89,2023-01-30T06:00:30.040Z,"184 km SW of José María Morelos, Mexico",earthquake,9.31,1.888,0.035,252,reviewed,us,us
2022-11-17T17:43:05.131Z,13.5409,-91.862,10,4.7,mb,84,94,1.414,0.91,us,us7000iqig,2023-01-28T19:58:23.040Z,"83 km S of Champerico, Guatemala",earthquake,5.13,1.672,0.05,121,reviewed,us,us
2022-11-16T21:32:44.481Z,31.6367452,-103.9987871,6.902807617,5.4,ml,42,46,0.02345152448,0.1,tx,tx2022wmmd,2023-04-19T21:42:48.284Z,"Coalson Draw, Texas",earthquake,0.4628109061,0.629622792,0.2,21,reviewed,tx,tx
2022-11-12T04:39:46.329Z,14.1024,-90.94,93.543,5.8,mww,117,60,0.605,0.95,us,us7000ip7p,2023-01-28T19:58:08.040Z,"12 km E of La Gomera, Guatemala",earthquake,5.44,2.956,0.031,103,reviewed,us,us
2022-11-04T10:02:46.346Z,28.1573,-112.3106,10,6.1,mww,150,91,0.837,0.38,us,us7000imgl,2023-03-08T18:20:14.734Z,"82 km SSW of Bahía de Kino, Mexico",earthquake,5.62,1.847,0.039,63,reviewed,us,us
2022-11-03T07:44:53.631Z,18.5012,-103.0997,63.571,4.7,mb,101,173,2.106,0.67,us,us7000im4p,2023-01-12T23:11:08.040Z,"31 km SSE of Coalcomán de Vázquez Pallares, Mexico",earthquake,9.71,7.334,0.03,349,reviewed,us,us
2022-11-02T23:37:22.568Z,14.1686,-92.1784,61.553,4.8,mb,131,94,0.74,0.88,us,us7000im2r,2023-01-12T23:11:06.040Z,"31 km WSW of Champerico, Guatemala",earthquake,5.71,4.79,0.054,104,reviewed,us,us
2022-10-30T18:17:10.263Z,14.675,-93.7781,35,4.5,mb,29,178,2.249,1.06,us,us7000ilcl,2023-01-12T23:10:40.040Z,"108 km SW of La Esperanza (El Zapotal), Mexico",earthquake,9.55,1.986,0.055,97,reviewed,us,us
2022-10-30T15:09:16.616Z,13.5575,-90.6983,61.414,4.5,mb,103,197,0.956,0.57,us,us7000ilc4,2023-01-12T23:10:39.040Z,"near the coast of Guatemala",earthquake,8.45,5.494,0.042,164,reviewed,us,us
