time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-25T13:27:43.393Z,42.8435,144.9924,51.916,6,mww,146,32,1.591,0.63,us,us6000jrjl,2023-04-02T03:59:06.426Z,"",earthquake,7.58,1.442,0.052,35,reviewed,us,us
2023-02-25T03:49:13.695Z,34.898,140.0785,68.259,4.6,mb,34,53,1.575,0.59,us,us6000jrh0,2023-03-17T02:20:11.040Z,"21 km ESE of Tateyama, Japan",earthquake,5.62,6.261,0.182,9,reviewed,us,us
2023-02-19T18:55:42.999Z,42.7956,143.121,132.287,5,mb,162,86,0.781,0.73,us,us6000jq5d,2023-02-27T18:11:35.040Z,"15 km SSW of Obihiro, Japan",earthquake,8.43,4.262,0.023,607,reviewed,us,us
2023-02-14T03:08:57.315Z,37.9138,144.4757,10,4.5,mb,67,128,3.903,0.56,us,us6000jnpn,2023-03-28T22:49:19.040Z,"272 km ESE of ?funato, Japan",earthquake,6.53,1.716,0.096,32,reviewed,us,us
2023-02-13T18:18:54.427Z,42.4829,145.0971,29.312,4.8,mb,79,123,1.514,0.86,us,us6000jnm3,2023-03-15T16:04:11.040Z,"Hokkaido, Japan region",earthquake,8.44,4.407,0.051,121,reviewed,us,us
2023-02-13T01:02:42.867Z,37.695,141.6575,57.976,4.6,mwr,195,105,2.987,0.85,us,us6000jnij,2023-03-09T06:37:33.620Z,"62 km ENE of Namie, Japan",earthquake,7.42,5.208,0.078,16,reviewed,us,us
2023-02-12T15:19:33.703Z,32.7573,141.9984,17.314,4.5,mb,24,118,1.871,1.15,us,us6000jng8,2023-04-01T18:45:04.040Z,"Izu Islands, Japan region",earthquake,8.62,4.094,0.171,10,reviewed,us,us
2023-02-05T00:03:19.669Z,32.655,141.6605,11,5.8,mww,212,41,1.62,0.55,us,us6000jlh9,2023-04-15T21:39:31.040Z,"Izu Islands, Japan region",earthquake,7.52,1.755,0.058,29,reviewed,us,us
2023-01-30T19:15:43.487Z,37.8497,142.1119,26.488,4.5,mb,66,135,3.046,1.03,us,us6000jke4,2023-04-13T21:53:11.040Z,"95 km SE of Ishinomaki, Japan",earthquake,7.61,5.675,0.099,30,reviewed,us,us
2023-01-29T12:19:47.177Z,35.3532,139.2937,146.936,4.7,mb,96,117,1.134,0.82,us,us6000jk5m,2023-04-13T21:53:08.040Z,"4 km NNW of ?iso, Japan",earthquake,6.01,5.769,0.034,263,reviewed,us,us
