NOMBRE_CARDENAL,PAIS_ORIGEN,CONTINENTE,AYO_PARTICIPACION,EDAD_PARTICIPAR,SEDE
Anthony Olubunmi Okogie,566,4,2005,68,0
Bernard Panafieu,250,4,2005,74,0
Gabriel Zubeir Wako,736,1,2005,64,0
Carlos Amigo Vallejo OFM,724,4,2005,70,0
Justin Francis Rigali,840,2,2005,69,0
Keith Michael Patrick O'Brien,826,4,2005,67,0
Eusébio Oscar Scheid SCI,76,2,2005,72,0
Ennio Antonelli,380,4,2005,68,0
Tarcisio Bertone SDB,380,4,2005,70,0
Peter Kodwo Appiah Turkson,288,1,2005,56,0
Telesphore Placidus Toppo,356,3,2005,65,0
George Pell,36,5,2005,63,0
Josip Bozanić,191,4,2005,56,0
Jean-Baptiste Phạm Minh Mẫn,704,3,2005,72,0
Rodolfo Quezada Toruño,220,2,2005,73,0
Philippe Barbarin,250,4,2005,54,0
Péter Erdő,348,4,2005,52,0
Marc Ouellet PSS,124,2,2005,60,0
Jorge Arturo Medina Estévez,172,2,2005,78,1
Darío Castrillón Hoyos,170,2,2005,75,0
James Francis Stafford,840,2,2005,72,0
Agostino Cacciavillan,380,4,2005,78,1
Sergio Sebastiani,380,4,2005,73,1
Zenon Grocholewski,616,4,2005,63,0
José Saraiva Martins CMF,620,4,2005,65,0
Crescenzio Sepe,380,4,2005,79,0
Mario Francesco Pompedda,380,4,2005,61,1
Walter Kasper,276,4,2005,75,0
Jean-Louis Tauran,250,4,2005,72,0
Renato Raffaele Martino,380,4,2005,61,0
Francesco Marchisano,380,4,2005,72,1
Julián Herranz Casado,724,4,2005,75,0
Javier Lozano Barragán,484,2,2005,75,0
Stephen Fumio Hamao,392,3,2005,72,0
Attilio Nicora,380,4,2005,68,0
Juan Sandoval Iñiguez,484,2,2013,79,1
Francisco Javier Errázuriz Ossa,152,2,2013,79,0
Geraldo Majella Agnelo,76,2,2013,79,1
Raúl Eduardo Vela Chiriboga,218,2,2013,79,0
Cláudio Hummes,76,2,2013,78,1
Julio Terrazas Sandoval,68,2,2013,76,1
Jaime Ortega,192,2,2013,76,0
Nicolás de Jesús López Rodríguez,214,2,2013,76,1
Jorge Mario Bergoglio,32,2,2013,76,1
Raymundo Damasceno Assis,76,2,2013,76,0
Norberto Rivera Carrera,484,2,2013,70,0
Jorge Liberato Urosa Savino,862,2,2013,70,0
Rubén Salazar Gómez,170,2,2013,76,0
Óscar Andrés Rodríguez Maradiaga,340,2,2013,70,0
Leonardo Sandri,32,2,2013,69,0
Juan Luis Cipriani Thorne,604,2,2013,69,0
João Braz de Aviz,76,2,2013,65,0
Francisco Robles Ortega,484,2,2013,63,0
Odilo Pedro Scherer,76,2,2013,63,0
Miguel Obando y Bravo,558,2,2013,79,0
Antonios Naguib,818,1,2013,77,0
Anthony Olubunmi Okogie,566,1,2013,76,0
Théodore-Adrien Sarr,686,1,2013,76,0
Laurent Monsengwo Pasinya,180,1,2013,73,0
Gabriel Zubeir Wako,736,1,2013,72,0
Wilfrid Fox Napier,710,1,2013,71,0
John Njue,404,1,2013,69,0
John Onaiyekan,566,1,2013,69,0
Polycarp Pengo,834,1,2013,68,0
Robert Sarah,324,1,2013,67,0
Peter Turkson,288,1,2013,64,0
Jean-Baptiste Phạm Minh Mẫn,704,3,2013,78,0
Ivan Dias,356,3,2013,76,0
John Tong Hon,156,3,2013,73,0
Telesphore Placidus Toppo,356,3,2013,73,0
Béchara Boutros Raï,422,3,2013,72,0
Oswald Gracias,356,3,2013,68,1
George Alencherry,356,3,2013,67,0
Albert Malcolm Ranjith,144,3,2013,65,0
Luis Antonio Tagle,608,3,2013,55,0
Baselios Cleemis Thottunkal,356,3,2013,53,0
George Pell,36,5,2013,71,0
Walter Kasper ,276,4,2013,79,0
Severino Poletto,380,4,2013,79,0
Godfried Danneels,56,4,2013,79,0
Raffaele Farina,380,4,2013,79,0
Joachim Meisner,276,4,2013,79,0
Giovanni Battista Re,380,4,2013,79,0
Dionigi Tettamanzi,380,4,2013,78,0
Francesco Monterisi,380,4,2013,78,1
Carlos Amigo Vallejo,724,4,2013,78,0
Paolo Sardi ,380,4,2013,78,0
Paul Josef Cardes,276,4,2013,78,0
Franc Rodè,705,4,2013,78,1
Tarcisio Bertone ,380,4,2013,78,0
Giovani Lajolo,380,4,2013,78,0
Velasio De Paolis,380,4,2013,77,0
Santos Abril y Castelló,724,4,2013,77,0
José Da Cruz Policarpo,620,4,2013,76,0
Karl Lehmann,276,4,2013,76,0
Antonio María Rouco Varela,724,4,2013,76,0
Ennio Antonelli,380,4,2013,76,0
Audrys Juozas Bačkis,440,4,2013,76,0
Attilio Nicora,380,4,2013,75,0
Lluís Martínez Sistach,724,4,2013,75,0
Antonio Maria Vegliò,380,4,2013,75,1
Paolo Romeo,380,4,2013,75,0
Francesco Coccopalmerio,380,4,2013,74,0
Manuel Monteiro de Castro,620,4,2013,74,0
Carlo Caffarra,380,4,2013,74,0
Angelo Amato,380,4,2013,74,0
Stanislaw Dziwisz,616,4,2013,73,0
Seán Brady,372,4,2013,73,0
Zenon Grocholewski,616,4,2013,73,0
Agostino Vallini,380,4,2013,72,0
Angelo Scola,380,4,2013,71,0
Giuseppe Bertello,380,4,2013,70,0
Gianfranco Ravasi,380,4,2013,70,0
André Vingt-Trois,250,4,2013,70,0
Domenico Calcagno,380,4,2013,70,0
Angelo Bagnasco,380,4,2013,70,0
Jean-Louis Tauran,250,4,2013,69,0
Dominik Duka,203,4,2013,69,0
Crescenzio Sepe,380,4,2013,69,0
Giuseppe Versaldi,380,4,2013,69,0
Angelo Comastri,380,4,2013,69,0
Mauro Piacenza,380,4,2013,68,0
Jean-Pierre Ricard,250,4,2013,68,0
Christoph Schönborn,40,4,2013,68,0
Stanisław Ryłko,616,4,2013,67,0
Vinko Puljić,70,4,2013,67,0
Antonio Cañizares Llovera,724,4,2013,67,0
Fernando Filoni,380,4,2013,66,0
Giuseppe Betori,380,4,2013,65,0
Josip Bozanić,191,4,2013,63,1
Kazimierz Nycz,616,4,2013,63,0
Kurt Koch,756,4,2013,62,0
Philippe Barbarin,250,4,2013,62,0
Péter Erdő,348,4,2013,60,0
Willem Jacobus Eijk,528,4,2013,59,0
Reinhard Marx,276,4,2013,59,0
Rainer Maria Woelki,276,4,2013,56,0
Justin Francis Rigali,840,2,2013,77,0
Roger Michael Mahony,840,2,2013,76,0
William Joseph Levada,840,2,2013,76,0
Jean-Claude Turcotte,124,2,2013,76,1
Francis George,840,2,2013,76,0
Edwin Frederick O'Brien,840,2,2013,73,0
Donald Wuerl,840,2,2013,72,0
Marc Ouellet,124,2,2013,68,0
Sean Patrick O’Malley,840,2,2013,68,0
Thomas Collins,124,2,2013,66,0
Raymond Leo Burke,840,2,2013,64,0
Daniel DiNardo,840,2,2013,63,0
James Michael Harvey,840,2,2013,63,0
Timothy Dolan,840,2,2013,63,0
