FOLIO,SEXO,EDAD,CARRERA,ZONA_PERTENENCIA ,CUBREBOCAS_NECESARIO,OBLIGACION_NECESIDAD,CUBREBOCAS_TRANSPORTE,COVID_PROTEGE,CASO_COVID,FACTOR_NO_USO,EFECTO_ECONOMIA,VACUNA_PROTEGE
118,1,20,3,1,1,2,1,1,2,3,3,1
119,1,18,3,1,1,2,1,1,2,4,2,1
120,1,20,3,2,2,1,1,2,2,4,1,1
121,1,21,3,1,1,1,1,1,2,4,1,1
122,1,19,3,1,1,2,1,2,2,2,1,1
123,1,19,3,1,1,2,1,2,2,3,1,2
124,1,20,3,1,1,1,1,1,2,3,1,2
125,1,20,3,1,1,2,1,1,2,3,1,2
126,1,19,3,1,1,2,1,1,2,3,1,2
127,1,21,3,1,1,1,1,1,2,4,1,2
128,1,19,3,2,1,2,1,1,2,1,1,2
129,1,21,3,1,1,1,1,2,2,2,1,2
130,1,19,3,2,1,2,1,1,2,3,1,2
131,1,20,3,2,1,2,1,1,2,3,1,2
132,1,20,3,1,1,2,1,1,2,3,2,2
133,2,18,3,1,1,2,1,1,2,4,2,1
134,2,19,3,1,2,1,1,2,2,4,2,1
135,1,19,3,2,1,2,1,2,2,4,2,1
136,2,20,3,1,1,1,1,2,2,4,4,1
137,2,18,3,1,1,2,1,2,2,4,1,1
138,1,20,3,2,1,2,1,1,2,3,1,1
139,1,20,3,2,1,1,1,1,2,3,1,1
140,1,21,3,1,1,1,2,1,1,3,1,1
141,1,19,3,1,1,1,1,1,2,3,1,1
142,2,18,3,1,1,2,1,1,1,4,1,2
143,2,20,3,2,2,1,1,1,2,3,1,2
144,1,19,3,2,1,2,1,1,1,3,1,2
145,2,20,3,2,1,1,1,1,1,3,1,2
146,1,19,3,1,1,2,1,1,2,4,1,2
147,1,20,3,1,1,2,1,1,1,2,1,2
148,1,18,3,1,1,2,1,1,2,2,1,2
149,1,18,3,1,1,2,1,1,2,3,1,2
150,2,19,3,1,1,2,1,1,2,3,1,2
151,2,19,3,1,1,2,1,1,2,3,1,2
152,1,19,3,1,1,2,1,1,2,3,1,2
153,1,18,3,1,1,2,1,2,2,3,1,2
154,1,21,3,1,1,2,1,2,2,3,1,2
155,1,20,3,1,1,2,1,2,2,4,1,2
156,1,18,3,1,1,2,1,2,2,4,1,2
157,1,19,4,1,1,2,1,2,2,4,1,2
158,1,20,4,1,1,2,1,2,2,4,1,2
159,1,20,4,1,1,1,1,2,2,4,1,2
160,2,20,4,1,1,2,1,1,2,4,1,2
161,1,21,4,1,1,2,1,1,2,4,1,2
162,1,18,4,2,1,2,1,1,2,4,1,2
163,1,18,4,2,1,2,1,1,2,4,1,2
164,1,19,4,1,1,2,1,1,2,4,1,2
165,2,18,4,1,1,2,1,1,2,4,1,2
166,1,21,4,2,1,2,1,1,1,4,1,2
167,1,20,4,2,1,1,1,1,2,3,2,2
168,1,20,4,2,1,1,1,1,2,3,2,2
169,1,20,4,2,1,1,1,1,2,4,2,2
170,1,22,4,2,1,2,1,1,2,4,1,2
171,1,21,4,2,1,1,1,2,2,4,1,2
172,1,21,4,1,1,2,1,2,2,4,1,2
173,2,21,4,1,1,1,1,1,1,2,1,1
174,2,22,4,1,1,1,1,1,2,3,1,2
175,1,21,4,2,2,1,1,2,2,4,1,1
176,1,22,4,2,1,1,1,1,1,4,2,2
177,1,21,4,2,1,2,1,1,2,4,3,2
178,1,21,4,1,1,2,1,1,2,4,1,2
179,1,21,4,2,1,2,1,1,2,4,1,2
180,1,21,4,1,1,2,1,2,2,3,1,2
181,2,22,4,1,1,1,1,2,1,4,1,1
182,2,20,4,1,1,2,1,2,2,4,2,2
183,2,20,4,1,1,2,1,1,2,4,1,2
184,1,18,4,2,1,1,1,1,2,3,1,2
185,1,18,4,2,1,1,1,1,2,4,1,2
186,1,22,4,1,1,2,1,1,2,4,1,2
187,2,22,4,1,2,1,1,2,2,4,1,1
188,2,21,4,1,2,2,1,2,2,4,1,1
189,1,22,4,1,1,1,1,1,2,4,1,1
190,1,21,4,1,1,1,1,2,2,4,4,2
191,2,21,4,1,1,2,1,1,2,4,1,2
192,1,21,4,2,1,1,1,1,2,4,1,2
193,1,21,4,1,1,1,1,2,2,4,1,2
194,2,21,4,2,1,1,2,2,2,3,1,1
195,1,22,4,1,1,1,1,1,2,2,2,2
196,2,20,4,1,1,2,1,1,2,4,1,2
197,2,23,4,2,1,1,1,2,2,4,1,1
198,1,21,4,1,2,2,1,1,2,4,1,2
199,1,21,4,2,1,1,1,1,2,3,2,2
200,2,21,4,2,1,1,1,1,2,3,1,1
201,1,20,4,1,1,1,1,1,2,3,1,1
202,1,21,4,1,1,1,1,1,2,4,1,2
203,2,21,4,1,1,1,1,1,1,4,2,2
