"","","Nombre","Nacionalidad","Fecha de nacimiento","Edad","Creado por","Fecha de nombramiento","Titulus","Cargo"
"30",30,"Michael Louis Fitzgerald, M. Afr.","Reino Unido Reino Unido","17/08/1937","85 años","Francisco","5/10/2019","Cardenal diácono de Santa María del Pórtico en Campitelli","Nuncio Apostólico emérito de Egipto
Presidente emérito del Pontificio Consejo para el Diálogo Interreligioso"
"31",31,"Julián Herranz Casado","España España","31/03/1930","92 años","Juan Pablo II","21/10/2003","Cardenal presbítero pro hac vice de San Eugenio","Presidente emérito del Consejo Pontificio para la Interpretación de los Textos Legislativos"
"32",32,"","","","","","","",""
"33",33,"Estanislao Esteban Karlic","Argentina","07/02/1926","96 años","Benedicto XVI","24/11/2007","Cardenal presbítero de Beata Virgen María de los Dolores en Plaza Buenos Aires","Arzobispo emérito de Paraná"
"34",34,"Walter Kasper","Alemania Alemania","05/03/1933","89 años","Juan Pablo II","21/02/2001","Cardenal presbítero pro hac vice de Todos los Santos en Via Appia Nuova","Presidente emérito del Pontificio Consejo para la Promoción de la Unidad de los Cristianos"
"35",35,"Michael Michai Kitbunchu","Tailandia","25/01/1929","93 años","Juan Pablo II","02/02/1983","Cardenal Presbítero de San Lorenzo en Panisperna","Arzobispo emérito de Bangkok

Cardenal protopresbítero del Colegio Cardenalicio"
"36",36,"Giovanni Lajolo","Italia Italia","03/01/1935","87 años","Benedicto XVI","24/11/2007","Cardenal presbítero pro hac vice de Santa María Liberadora en el Monte Testaccio","Presidente emérito del Governatorato y de la Comisión Pontificia para el Estado de la Ciudad del Vaticano"
"37",37,"Júlio Duarte Langa","Mozambique Mozambique","27/10/1927","94 años","Francisco","14/02/2015","Cardenal presbítero de San Gabriel de la Dolorosa","Obispo emérito de Xai-Xai"
"38",38,"Nicolás de Jesús López Rodríguez","República Dominicana República Dominicana","31/10/1936","85 años","Juan Pablo II","28/06/1991","Cardenal presbítero de San Pío X alla Balduina","Arzobispo emérito de Santo Domingo"
"39",39,"Roger Michael Mahony","Estados Unidos","27/02/1936","86 años","Juan Pablo II","28/06/1991","Cardenal presbítero de Cuatro Santos Coronados","Arzobispo emérito de Los Ángeles"
"40",40,"Adam Joseph Maida","Estados Unidos","18/03/1930","92 años","Juan Pablo II","26/11/1994","Cardenal presbítero de Santos Vital, Valeria, Gervasio y Protasio","Arzobispo emérito de Detroit"
