WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
273,MEX,Mexico,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2021 Fiscal assumptions: The 2020 public sector borrowing requirements estimated by the IMF staff adjusts for some statistical discrepancies between above-the-line and below-the-line numbers. Fiscal projections for 2022 and 2023 are informed by the estimates in Criterios 2023; projections for 2024 onward assume continued compliance with rules established in the Fiscal Responsibility Law. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014. Currently the Mexico team is submitting data to WEO using GFSM 2014 classification by making a range of adjustments based on additional data provided by the Mexican authorities for the period 2008-2019. Thus, the series display a statistical break in 2008. The GFSM classification is also used to present fiscal tables in the Art IV reports (in addition to standard tables used for discussion with Mexican authorities). Accrual data are not available to the Mexico team. Basis of recording: Cash General government includes: Central Government;Social Security Funds;Nonmonetary Financial Public Corporations;Nonfinancial Public Corporation;. Includes central government, social security funds, state-owned enterprises, public development banks but excludes state and local governments. Valuation of public debt: Face value Instruments included in gross and net debt: Securities Other than Shares;Loans;Insurance Technical Reserves Primary domestic currency: Mexican peso Data last updated: 09/2022","6,693.68","7,069.38","7,455.46","7,868.81","8,828.37","9,562.65","10,630.94","11,504.08","12,353.85","12,162.76","13,366.38","14,665.58","15,817.76","16,277.19","17,484.31","18,572.11","20,129.06","21,934.17","23,524.39","24,445.74","23,415.59","26,306.70","28,843.54",2021
111,USA,United States,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 09/2022","13,138.05","13,263.43","13,488.35","13,865.53","14,399.68","14,901.25","15,315.93","15,623.88","15,642.98","15,236.28","15,649.00","15,891.53","16,253.98","16,553.35","16,932.03","17,390.30","17,680.30","18,079.08","18,606.80","19,032.68","18,384.70","19,427.30","19,746.05",2021
111,USA,United States,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.077,0.954,1.696,2.796,3.852,3.483,2.783,2.011,0.122,-2.6,2.709,1.55,2.281,1.842,2.288,2.707,1.668,2.255,2.919,2.289,-3.405,5.671,1.641,2021
111,USA,United States,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 09/2022","10,250.95","10,581.93","10,929.10","11,456.45","12,217.18","13,039.20","13,815.60","14,474.25","14,769.85","14,478.05","15,048.98","15,599.73","16,253.95","16,843.23","17,550.68","18,206.03","18,695.10","19,479.63","20,527.15","21,372.60","20,893.75","22,996.08","25,035.16",2021
111,USA,United States,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","10,250.95","10,581.93","10,929.10","11,456.45","12,217.18","13,039.20","13,815.60","14,474.25","14,769.85","14,478.05","15,048.98","15,599.73","16,253.95","16,843.23","17,550.68","18,206.03","18,695.10","19,479.63","20,527.15","21,372.60","20,893.75","22,996.08","25,035.16",2021
111,USA,United States,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","10,250.95","10,581.93","10,929.10","11,456.45","12,217.18","13,039.20","13,815.60","14,474.25","14,769.85","14,478.05","15,048.98","15,599.73","16,253.95","16,843.23","17,550.68","18,206.03","18,695.10","19,479.63","20,527.15","21,372.60","20,893.75","22,996.08","25,035.16",2021
111,USA,United States,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",78.025,79.783,81.026,82.625,84.843,87.504,90.204,92.642,94.418,95.024,96.166,98.164,100,101.751,103.654,104.691,105.74,107.747,110.321,112.294,113.647,118.37,126.786,2021
111,USA,United States,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","46,539.99","46,503.10","46,831.46","47,691.56","49,080.56","50,322.52","51,235.84","51,751.28","51,335.91","49,569.21","50,523.50","50,943.53","51,736.82","52,329.15","53,141.85","54,187.90","54,700.34","55,580.04","56,897.46","57,929.84","55,503.62","58,483.71","59,296.60",2021
111,USA,United States,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","50,145.35","50,105.61","50,459.40","51,386.13","52,882.73","54,220.91","55,204.98","55,760.35","55,312.80","53,409.24","54,437.45","54,890.03","55,744.77","56,382.99","57,258.64","58,385.72","58,937.87","59,885.71","61,305.19","62,417.55","59,803.38","63,014.33","63,890.19",2021
111,USA,United States,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","36,312.78","37,101.45","37,945.76","39,405.35","41,641.62","44,034.26","46,216.85","47,943.35","48,470.55","47,102.43","48,586.29","50,008.11","51,736.74","53,245.52","55,083.51","56,729.68","57,839.99","59,885.71","62,769.66","65,051.88","63,078.47","69,227.11","75,179.59",2021
111,USA,United States,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","36,312.78","37,101.45","37,945.76","39,405.35","41,641.62","44,034.26","46,216.85","47,943.35","48,470.55","47,102.43","48,586.29","50,008.11","51,736.74","53,245.52","55,083.51","56,729.68","57,839.99","59,885.71","62,769.66","65,051.88","63,078.47","69,227.11","75,179.59",2021
111,USA,United States,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","36,312.78","37,101.45","37,945.76","39,405.35","41,641.62","44,034.26","46,216.85","47,943.35","48,470.55","47,102.43","48,586.29","50,008.11","51,736.74","53,245.52","55,083.51","56,729.68","57,839.99","59,885.71","62,769.66","65,051.88","63,078.47","69,227.11","75,179.59",2021
111,USA,United States,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",2.058,-0.538,-2.115,-2.383,-1.468,-0.716,-0.414,-0.696,-2.734,-7.236,-6.514,-6.575,-5.699,-5.052,-3.971,-2.544,-2.15,-1.317,0.009,0.655,-3.163,0.521,0.028,2021
111,USA,United States,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",20.3,20.012,19.793,19.554,19.29,19.056,18.603,18.004,17.506,17.117,16.693,16.3,16.142,15.943,16.014,16.276,16.093,15.921,15.826,15.757,15.717,15.685,15.467,2021
111,USA,United States,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: BEA and IMF's Government Finance Statistics Yearbook (revenue, expenditure, and net lending); Flow of Funds (debt) Latest actual data: 2021 Notes: Revenue, expenditure, and net lending data are is compiled using SNA 2008, and when translated into GFS this is in accordance with GFSM 2014. Due to data limitations, most series begin 2001. Fiscal assumptions: Fiscal projections are based on the July 2022 Congressional Budget Office baseline, adjusted for the IMF staff's policy and macroeconomic assumptions. Projections incorporate the effects of the Bipartisan Infrastructure Law and the Inflation Reduction Act. Fiscal projections are adjusted to reflect the IMF staff's forecasts for key macroeconomic and financial variables and different accounting treatment of financial sector support and of defined-benefit pension plans, and are converted to a general government basis. Reporting in calendar year: Yes. Original Federal Government data are in Fiscal year, all else in calendar year. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits;Loans;Insurance Technical Reserves;Financial Derivatives;Monetary Gold and SDRs Primary domestic currency: US dollar Data last updated: 09/2022","10,250.95","10,581.93","10,929.10","11,456.45","12,217.18","13,039.20","13,815.60","14,474.25","14,769.85","14,478.05","15,048.98","15,599.73","16,253.95","16,843.23","17,550.68","18,206.03","18,695.10","19,479.63","20,527.15","21,372.60","20,893.75","22,996.08","25,035.16",2021
